Fecha,Dia,Bloque,Ejercicio,Series x Reps,Peso Usado (kg),RIR,Notas
08/06/2026,Serie 1,Bloque A (Sem 1-4),"Movilidad 90/90 de Cadera","2x10/lado",0,"",""
08/06/2026,Serie 2,Bloque A (Sem 1-4),"Movilidad 90/90 de Cadera","2x10/lado",0,"",""
08/06/2026,Serie 1,Bloque A (Sem 1-4),"Movilidad de Tobillo contra Pared","2x10/lado",0,"",""
08/06/2026,Serie 2,Bloque A (Sem 1-4),"Movilidad de Tobillo contra Pared","2x10/lado",0,"",""
08/06/2026,Serie 1,Bloque A (Sem 1-4),"Sentadilla Búlgara Isométrica","3x30-40s",30,"",""
08/06/2026,Serie 2,Bloque A (Sem 1-4),"Sentadilla Búlgara Isométrica","3x30-40s",30,"",""
08/06/2026,Serie 3,Bloque A (Sem 1-4),"Sentadilla Búlgara Isométrica","3x30-40s",30,"",""
08/06/2026,Serie 1,Bloque A (Sem 1-4),"Drop Landings (Absorción de Impacto)","3x4",0,"",""
08/06/2026,Serie 2,Bloque A (Sem 1-4),"Drop Landings (Absorción de Impacto)","3x4",0,"",""
08/06/2026,Serie 3,Bloque A (Sem 1-4),"Drop Landings (Absorción de Impacto)","3x4",0,"3",""
08/06/2026,Serie 1,Bloque A (Sem 1-4),"Prensa Inclinada de Piernas","4x10",130,"",""
08/06/2026,Serie 2,Bloque A (Sem 1-4),"Prensa Inclinada de Piernas","4x10",100,"1",""
08/06/2026,Serie 3,Bloque A (Sem 1-4),"Prensa Inclinada de Piernas","4x10",100,"0",""
08/06/2026,Serie 4,Bloque A (Sem 1-4),"Prensa Inclinada de Piernas","4x10",130,"",""
08/06/2026,Serie 1,Bloque A (Sem 1-4),"Peso Muerto Rumano (Barra/Manc.)","3x10",60,"0",""
08/06/2026,Serie 2,Bloque A (Sem 1-4),"Peso Muerto Rumano (Barra/Manc.)","3x10",60,"0",""
08/06/2026,Serie 3,Bloque A (Sem 1-4),"Peso Muerto Rumano (Barra/Manc.)","3x10",60,"0",""
08/06/2026,Serie 1,Bloque A (Sem 1-4),"Press Inclinado con Mancuernas (45°)","3x10",30,"0",""
08/06/2026,Serie 2,Bloque A (Sem 1-4),"Press Inclinado con Mancuernas (45°)","3x10",30,"0",""
08/06/2026,Serie 3,Bloque A (Sem 1-4),"Press Inclinado con Mancuernas (45°)","3x10",30,"0",""
08/06/2026,Serie 1,Bloque A (Sem 1-4),"Press Pallof en Polea","3x12/lado",12.5,"3",""
08/06/2026,Serie 2,Bloque A (Sem 1-4),"Press Pallof en Polea","3x12/lado",0,"",""
08/06/2026,Serie 3,Bloque A (Sem 1-4),"Press Pallof en Polea","3x12/lado",0,"",""
10/06/2026,Serie 1,Bloque A (Sem 1-4),"Dislocaciones de Hombro con Pica","2x10",0,"",""
10/06/2026,Serie 2,Bloque A (Sem 1-4),"Dislocaciones de Hombro con Pica","2x10",0,"",""
10/06/2026,Serie 1,Bloque A (Sem 1-4),"Rotación Torácica en Cuadrupedia","2x10/lado",0,"",""
10/06/2026,Serie 2,Bloque A (Sem 1-4),"Rotación Torácica en Cuadrupedia","2x10/lado",0,"",""
10/06/2026,Serie 1,Bloque A (Sem 1-4),"Y-T-W en Banco Inclinado","2x10/letra",0,"",""
10/06/2026,Serie 2,Bloque A (Sem 1-4),"Y-T-W en Banco Inclinado","2x10/letra",0,"",""
10/06/2026,Serie 1,Bloque A (Sem 1-4),"Puente de Glúteo a una Pierna","2x12/lado",0,"",""
10/06/2026,Serie 2,Bloque A (Sem 1-4),"Puente de Glúteo a una Pierna","2x12/lado",0,"",""
10/06/2026,Serie 1,Bloque A (Sem 1-4),"Skater Jumps con Recepción Clavada","3x4/lado",0,"",""
10/06/2026,Serie 2,Bloque A (Sem 1-4),"Skater Jumps con Recepción Clavada","3x4/lado",0,"",""
10/06/2026,Serie 3,Bloque A (Sem 1-4),"Skater Jumps con Recepción Clavada","3x4/lado",0,"",""
10/06/2026,Serie 1,Bloque A (Sem 1-4),"Dominadas Supinas (o Jalón Neutro)","4x8",30,"3",""
10/06/2026,Serie 2,Bloque A (Sem 1-4),"Dominadas Supinas (o Jalón Neutro)","4x8",42.5,"3",""
10/06/2026,Serie 3,Bloque A (Sem 1-4),"Dominadas Supinas (o Jalón Neutro)","4x8",45,"3",""
10/06/2026,Serie 4,Bloque A (Sem 1-4),"Dominadas Supinas (o Jalón Neutro)","4x8",50,"1",""
10/06/2026,Serie 1,Bloque A (Sem 1-4),"Sentadilla Búlgara Dinámica","3x8/pierna",8,"3",""
10/06/2026,Serie 2,Bloque A (Sem 1-4),"Sentadilla Búlgara Dinámica","3x8/pierna",16,"2",""
10/06/2026,Serie 3,Bloque A (Sem 1-4),"Sentadilla Búlgara Dinámica","3x8/pierna",16,"2",""
10/06/2026,Serie 1,Bloque A (Sem 1-4),"Remo Apoyado en Banco Manc.","3x10",10,"3",""
10/06/2026,Serie 2,Bloque A (Sem 1-4),"Remo Apoyado en Banco Manc.","3x10",20,"2",""
10/06/2026,Serie 3,Bloque A (Sem 1-4),"Remo Apoyado en Banco Manc.","3x10",20,"2",""
10/06/2026,Serie 1,Bloque A (Sem 1-4),"Plancha Abdominal Extendida","3x40 s",0,"",""
10/06/2026,Serie 2,Bloque A (Sem 1-4),"Plancha Abdominal Extendida","3x40 s",0,"",""
10/06/2026,Serie 3,Bloque A (Sem 1-4),"Plancha Abdominal Extendida","3x40 s",0,"",""
12/06/2026,Serie 1,Bloque A (Sem 1-4),"Gato-Camello (Cat-Camel)","2x10",0,"",""
12/06/2026,Serie 2,Bloque A (Sem 1-4),"Gato-Camello (Cat-Camel)","2x10",0,"",""
12/06/2026,Serie 1,Bloque A (Sem 1-4),"Estiramiento Dinámico Aductores","2x10/lado",0,"",""
12/06/2026,Serie 2,Bloque A (Sem 1-4),"Estiramiento Dinámico Aductores","2x10/lado",0,"",""
12/06/2026,Serie 1,Bloque A (Sem 1-4),"Curl Femoral en Máquina","2x10",15,"3",""
12/06/2026,Serie 2,Bloque A (Sem 1-4),"Curl Femoral en Máquina","2x10",15,"3",""
12/06/2026,Serie 1,Bloque A (Sem 1-4),"Aceleración Resistida con Banda o Trineo","4x15 metros",0,"",""
12/06/2026,Serie 2,Bloque A (Sem 1-4),"Aceleración Resistida con Banda o Trineo","4x15 metros",0,"",""
12/06/2026,Serie 3,Bloque A (Sem 1-4),"Aceleración Resistida con Banda o Trineo","4x15 metros",0,"",""
12/06/2026,Serie 4,Bloque A (Sem 1-4),"Aceleración Resistida con Banda o Trineo","4x15 metros",0,"",""
12/06/2026,Serie 1,Bloque A (Sem 1-4),"Landmine Press a un Brazo","4x8/lado",15,"2",""
12/06/2026,Serie 2,Bloque A (Sem 1-4),"Landmine Press a un Brazo","4x8/lado",15,"2",""
12/06/2026,Serie 3,Bloque A (Sem 1-4),"Landmine Press a un Brazo","4x8/lado",15,"2",""
12/06/2026,Serie 4,Bloque A (Sem 1-4),"Landmine Press a un Brazo","4x8/lado",15,"2",""
